AUTO_FLAG,CATA_ID,CATA_TYPE,EPI_DEPTH,EPI_LAT,EPI_LON,EQ_CATA_TYPE,EQ_TYPE,IS_DEL,LOCATION_C,LOCATION_S,LOC_STN,M,M_MB,M_MB2,M_ML,M_MS,M_MS7,NEW_DID,O_TIME,O_TIME_FRA,SAVE_TIME,SUM_STN,SYNC_TIME,id
M,CD20230123135341.00,,12,39.15,118.56,,M,,河北唐山市曹妃甸区海域,,0,2.4,0,0,0,0,0,CD20230123135341,2023-01-23 13:53:41,0,2023-01-23 14:03:48,0,2023-01-23 14:03:52,44452
M,CD20230123060826.00,,9,38.48,99.21,,M,,青海海北州祁连县,,0,3.2,0,0,0,0,0,CD20230123060826,2023-01-23 06:08:25,0,2023-01-23 06:17:16,0,2023-01-23 06:17:16,44451
M,CD20230122223653.00,,9,38.57,93.50,,M,,青海海西州茫崖市,,0,3.3,0,0,0,0,0,CD20230122223653,2023-01-22 22:36:53,0,2023-01-22 22:44:42,0,2023-01-22 22:44:45,44450
M,CC20230121060938.00,,600,-26.80,-63.20,,M,,阿根廷,,0,6.6,0,0,0,0,0,CC20230121060938,2023-01-21 06:09:38,0,2023-01-21 06:36:25,0,2023-01-21 06:36:25,44449
M,CD20230121004323.00,,10,33.66,81.85,,M,,西藏阿里地区日土县,,0,3.1,0,0,0,0,0,CD20230121004323,2023-01-21 00:43:23,0,2023-01-21 00:50:22,0,2023-01-21 00:50:23,44448
M,CC20230120192340.00,,170,16.15,-62.15,,M,,背风群岛,,0,6.2,0,0,0,0,0,CC20230120192340,2023-01-20 19:23:39,0,2023-01-20 19:45:50,0,2023-01-20 19:45:50,44447
M,CD20230120092016.00,,10,35.84,79.93,,M,,新疆和田地区和田县,,0,3.2,0,0,0,0,0,CD20230120092016,2023-01-20 09:20:15,0,2023-01-20 09:26:16,0,2023-01-20 09:26:18,44446
M,CD20230120073249.00,,10,35.79,79.87,,M,,新疆和田地区和田县,,0,3.0,0,0,0,0,0,CD20230120073249,2023-01-20 07:32:48,0,2023-01-20 07:43:28,0,2023-01-20 07:43:30,44445
M,CD20230119203515.00,,20,41.02,82.85,,M,,新疆阿克苏地区沙雅县,,0,3.0,0,0,0,0,0,CD20230119203515,2023-01-19 20:35:15,0,2023-01-19 20:42:40,0,2023-01-19 20:42:42,44444
M,CC20230119193041.00,,150,35.40,71.40,,M,,阿富汗,,0,5.4,0,0,0,0,0,CC20230119193041,2023-01-19 19:30:41,0,2023-01-19 19:49:21,0,2023-01-19 19:49:22,44443
M,CD20230118195427.00,,8,41.25,84.04,,M,,新疆巴音郭楞州轮台县,,0,3.3,0,0,0,0,0,CD20230118195427,2023-01-18 19:54:27,0,2023-01-18 20:02:32,0,2023-01-18 20:02:34,44442
M,CC20230118180813.00,,10,38.50,45.05,,M,,伊朗,,0,5.6,0,0,0,0,0,CC20230118180813,2023-01-18 18:08:13,0,2023-01-18 18:24:40,0,2023-01-18 18:24:45,44441
M,CC20230118140615.00,,40,2.80,127.10,,M,,印尼马鲁古海,,0,7.0,0,0,0,0,0,CC20230118140615,2023-01-18 14:06:14,0,2023-01-18 14:28:53,0,2023-01-18 14:28:53,44440
M,CC20230118083446.00,,160,-0.10,123.30,,M,,印尼苏拉威西岛附近海域,,0,6.1,0,0,0,0,0,CC20230118083446,2023-01-18 08:34:45,0,2023-01-18 08:53:35,0,2023-01-18 08:53:36,44439
M,CD20230117171734.00,,8,31.71,112.01,,M,,湖北襄阳市南漳县,,0,3.6,0,0,0,0,0,CD20230117171734,2023-01-17 17:17:33,0,2023-01-17 17:25:18,0,2023-01-17 17:25:18,44438
M,CD20230117171304.00,,8,31.71,111.99,,M,,湖北襄阳市南漳县,,0,3.2,0,0,0,0,0,CD20230117171304,2023-01-17 17:13:04,0,2023-01-17 17:20:00,0,2023-01-17 17:20:01,44437
M,CD20230117000930.00,,18,41.12,83.40,,M,,新疆阿克苏地区沙雅县,,0,3.1,0,0,0,0,0,CD20230117000930,2023-01-17 00:09:30,0,2023-01-17 00:17:42,0,2023-01-17 00:17:44,44436
M,CD20230116194500.00,,8,35.81,79.94,,M,,新疆和田地区和田县,,0,3.4,0,0,0,0,0,CD20230116194500,2023-01-16 19:45:00,0,2023-01-16 19:51:55,0,2023-01-16 19:51:55,44435
M,CD20230116192941.00,,8,35.79,79.97,,M,,新疆和田地区和田县,,0,3.9,0,0,0,0,0,CD20230116192941,2023-01-16 19:29:41,0,2023-01-16 19:37:52,0,2023-01-16 19:37:53,44434
M,CC20230116124953.00,,400,29.00,139.55,,M,,日本小笠原群岛地区,,0,5.8,0,0,0,0,0,CC20230116124953,2023-01-16 12:49:52,0,2023-01-16 13:16:35,0,2023-01-16 13:16:35,44433
M,CC20230116062959.00,,30,1.90,97.90,,M,,印尼苏门答腊岛北部海域,,0,6.0,0,0,0,0,0,CC20230116062959,2023-01-16 06:29:59,0,2023-01-16 06:52:15,0,2023-01-16 06:52:17,44432
M,CD20230116054626.00,,10,28.11,104.95,,M,,四川宜宾市珙县,,0,3.0,0,0,0,0,0,CD20230116054626,2023-01-16 05:46:25,0,2023-01-16 05:56:13,0,2023-01-16 05:56:13,44431
M,CD20230115215517.00,,140,38.40,75.41,,M,,新疆克孜勒苏州阿克陶县,,0,3.8,0,0,0,0,0,CD20230115215517,2023-01-15 21:55:16,0,2023-01-15 22:03:54,0,2023-01-15 22:03:56,44430
M,CC20230115200421.00,,60,-14.85,166.95,,M,,瓦努阿图群岛,,0,5.5,0,0,0,0,0,CC20230115200421,2023-01-15 20:04:21,0,2023-01-15 20:29:02,0,2023-01-15 20:29:07,44429
M,CD20230114225033.00,,11,41.21,83.67,,M,,新疆阿克苏地区库车市,,0,3.0,0,0,0,0,0,CD20230114225033,2023-01-14 22:50:33,0,2023-01-14 22:59:28,0,2023-01-14 22:59:30,44428
M,CD20230114160228.00,,9,32.92,92.22,,M,,青海海西州唐古拉地区,,0,4.3,0,0,0,0,0,CD20230114160228,2023-01-14 16:02:28,0,2023-01-14 16:11:55,0,2023-01-14 16:11:57,44427
M,CD20230114150336.00,,0,38.94,109.68,,M,,陕西榆林市神木市(塌陷),,0,3.0,0,0,0,0,0,CD20230114150336,2023-01-14 15:03:36,0,2023-01-14 15:12:07,0,2023-01-14 15:12:08,44426
M,CD20230114132539.00,,9,41.82,88.05,,M,,新疆巴音郭楞州和硕县,,0,3.0,0,0,0,0,0,CD20230114132539,2023-01-14 13:25:38,0,2023-01-14 13:34:01,0,2023-01-14 13:34:05,44425
M,CD20230112175835.00,,10,31.71,83.10,,M,,西藏阿里地区改则县,,0,3.4,0,0,0,0,0,CD20230112175835,2023-01-12 17:58:34,0,2023-01-12 18:06:55,0,2023-01-12 18:07:00,44424
M,CC20230112141910.00,,40,-30.65,-71.40,,M,,智利,,0,5.4,0,0,0,0,0,CC20230112141910,2023-01-12 14:19:09,0,2023-01-12 14:44:09,0,2023-01-12 14:44:09,44423
M,CD20230112141532.00,,10,27.11,102.89,,M,,四川凉山州宁南县,,0,3.0,0,0,0,0,0,CD20230112141532,2023-01-12 14:15:32,0,2023-01-12 14:21:03,0,2023-01-12 14:21:07,44422
M,CD20230112082457.00,,9,23.84,114.51,,M,,广东河源市东源县,,0,2.9,0,0,0,0,0,CD20230112082457,2023-01-12 08:24:57,0,2023-01-12 08:30:00,0,2023-01-12 08:30:00,44421
M,CC20230111163957.00,,10,-14.95,166.55,,M,,瓦努阿图群岛,,0,5.8,0,0,0,0,0,CC20230111163957,2023-01-11 16:39:57,0,2023-01-11 17:06:43,0,2023-01-11 17:06:43,44420
M,CD20230111151458.00,,8,35.64,103.96,,M,,甘肃定西市临洮县,,0,3.0,0,0,0,0,0,CD20230111151458,2023-01-11 15:14:58,0,2023-01-11 15:22:26,0,2023-01-11 15:22:26,44419
M,CD20230111113421.00,,21,48.32,130.42,,M,,黑龙江伊春市嘉荫县,,0,3.0,0,0,0,0,0,CD20230111113421,2023-01-11 11:34:20,0,2023-01-11 11:43:08,0,2023-01-11 11:43:09,44418
M,CD20230111042511.00,,14,32.11,104.97,,M,,四川绵阳市江油市,,0,3.4,0,0,0,0,0,CD20230111042511,2023-01-11 04:25:11,0,2023-01-11 04:32:06,0,2023-01-11 04:32:07,44417
M,CC20230110132454.00,,120,-14.95,166.80,,M,,瓦努阿图群岛,,0,5.8,0,0,0,0,0,CC20230110132454,2023-01-10 13:24:54,0,2023-01-10 13:53:30,0,2023-01-10 13:53:35,44416
M,CC20230110014734.00,,100,-7.20,130.10,,M,,印尼班达海,,0,7.6,0,0,0,0,0,CC20230110014734,2023-01-10 01:47:33,0,2023-01-10 02:12:11,0,2023-01-10 02:12:13,44415
M,CD20230109205133.00,,10,24.26,98.64,,M,,云南德宏州芒市,,0,3.4,0,0,0,0,0,CD20230109205133,2023-01-09 20:51:33,0,2023-01-09 21:00:09,0,2023-01-09 21:00:09,44414
M,CC20230108234849.00,,10,37.79,112.52,,M,,山西太原市晋源区,,0,3.1,0,0,0,0,0,CC20230108234849,2023-01-08 23:48:49,0,2023-01-08 23:56:07,0,2023-01-08 23:56:07,44413
M,CC20230108203240.00,,20,-14.95,166.80,,M,,瓦努阿图群岛,,0,7.0,0,0,0,0,0,CC20230108203240,2023-01-08 20:32:39,0,2023-01-08 20:59:05,0,2023-01-08 20:59:05,44412
M,CD20230107192128.00,,14,23.54,121.33,,M,,台湾花莲县,,0,4.0,0,0,0,0,0,CD20230107192128,2023-01-07 19:21:27,0,2023-01-07 19:30:32,0,2023-01-07 19:30:33,44411
M,CC20230106195238.00,,500,-24.55,179.95,,M,,斐济群岛以南海域,,0,5.9,0,0,0,0,0,CC20230106195238,2023-01-06 19:52:37,0,2023-01-06 20:21:57,0,2023-01-06 20:22:01,44410
M,CD20230106083534.00,,10,34.72,98.01,,M,,青海果洛州玛多县,,0,3.1,0,0,0,0,0,CD20230106083534,2023-01-06 08:35:33,0,2023-01-06 08:43:38,0,2023-01-06 08:43:40,44409
M,CC20230105222551.00,,200,36.40,70.65,,M,,阿富汗,,0,6.0,0,0,0,0,0,CC20230105222551,2023-01-05 22:25:51,0,2023-01-05 22:47:49,0,2023-01-05 22:47:51,44408
M,CD20230105210332.00,,10,40.19,74.66,,M,,新疆克孜勒苏州乌恰县,,0,3.7,0,0,0,0,0,CD20230105210332,2023-01-05 21:03:31,0,2023-01-05 21:11:46,0,2023-01-05 21:11:48,44407
M,CC20230105122738.00,,10,37.91,101.13,,M,,青海海北州祁连县,,0,4.2,0,0,0,0,0,CC20230105122738,2023-01-05 12:27:38,0,2023-01-05 12:37:14,0,2023-01-05 12:37:14,44406
M,CD20230104130203.00,,10,33.23,86.78,,M,,西藏那曲市尼玛县,,0,3.8,0,0,0,0,0,CD20230104130203,2023-01-04 13:02:02,0,2023-01-04 13:13:26,0,2023-01-04 13:13:28,44405
M,CD20230104115013.00,,9,32.06,95.42,,M,,西藏昌都市丁青县,,0,3.2,0,0,0,0,0,CD20230104115013,2023-01-04 11:50:13,0,2023-01-04 12:01:08,0,2023-01-04 12:01:09,44404
M,CD20230104054737.00,,13,41.22,84.00,,M,,新疆阿克苏地区库车市,,0,3.2,0,0,0,0,0,CD20230104054737,2023-01-04 05:47:37,0,2023-01-04 05:56:33,0,2023-01-04 05:56:36,44403
M,CC20230103022245.00,,100,45.75,151.10,,M,,千岛群岛,,0,5.4,0,0,0,0,0,CC20230103022245,2023-01-03 02:22:44,0,2023-01-03 02:53:15,0,2023-01-03 02:53:16,44402
M,CD20230103014931.00,,10,41.24,84.04,,M,,新疆巴音郭楞州轮台县,,0,3.2,0,0,0,0,0,CD20230103014931,2023-01-03 01:49:31,0,2023-01-03 01:56:26,0,2023-01-03 01:56:28,44401
M,CD20230102161429.00,,107,36.13,78.41,,M,,新疆和田地区皮山县,,0,3.3,0,0,0,0,0,CD20230102161429,2023-01-02 16:14:28,0,2023-01-02 16:20:51,0,2023-01-02 16:20:55,44400
M,CC20230102023507.00,,30,40.42,-123.95,,M,,美国加利福尼亚州,,0,5.2,0,0,0,0,0,CC20230102023507,2023-01-02 02:35:07,0,2023-01-02 02:59:19,0,2023-01-02 02:59:19,44399
M,CC20230102022429.00,,20,-2.70,140.80,,M,,印尼巴布亚省,,0,5.1,0,0,0,0,0,CC20230102022429,2023-01-02 02:24:29,0,2023-01-02 02:48:13,0,2023-01-02 02:48:17,44398
M,CD20230101210259.00,,101,36.77,77.08,,M,,新疆喀什地区叶城县,,0,4.2,0,0,0,0,0,CD20230101210259,2023-01-01 21:02:58,0,2023-01-01 21:10:55,0,2023-01-01 21:10:56,44397
M,CD20230101172008.00,,37,38.87,75.86,,M,,新疆克孜勒苏州阿克陶县,,0,3.0,0,0,0,0,0,CD20230101172008,2023-01-01 17:20:07,0,2023-01-01 17:27:51,0,2023-01-01 17:27:54,44396
M,CD20221231173435.00,,8,24.28,98.62,,M,,云南德宏州芒市,,0,3.0,0,0,0,0,0,CD20221231173435,2022-12-31 17:34:34,0,2022-12-31 17:40:49,0,2022-12-31 17:40:49,44395
M,CD20221231171559.00,,10,33.18,97.13,,M,,青海玉树州称多县(有感),,0,2.4,0,0,0,0,0,CD20221231171559,2022-12-31 17:15:59,0,2022-12-31 17:25:45,0,2022-12-31 17:25:48,44394
M,CC20221230072648.00,,10,-0.15,97.45,,M,,印尼苏门答腊岛北部,,0,5.2,0,0,0,0,0,CC20221230072648,2022-12-30 07:26:47,0,2022-12-30 07:51:37,0,2022-12-30 07:51:44,44393
M,CC20221229211337.00,,120,6.10,126.25,,M,,菲律宾棉兰老岛,,0,5.2,0,0,0,0,0,CC20221229211337,2022-12-29 21:13:36,0,2022-12-29 21:34:33,0,2022-12-29 21:34:36,44392
M,CC20221229011636.00,,10,41.88,79.56,,M,,吉尔吉斯斯坦,,0,5.4,0,0,0,0,0,CC20221229011636,2022-12-29 01:16:36,0,2022-12-29 01:29:46,0,2022-12-29 01:29:46,44391
M,CC20221229003420.00,,10,-21.30,171.45,,M,,洛亚蒂群岛东南,,0,6.0,0,0,0,0,0,CC20221229003420,2022-12-29 00:34:20,0,2022-12-29 01:03:44,0,2022-12-29 01:03:44,44390
M,CD20221228211922.00,,100,40.16,83.12,,M,,新疆阿克苏地区沙雅县,,0,3.6,0,0,0,0,0,CD20221228211922,2022-12-28 21:19:22,0,2022-12-28 21:31:40,0,2022-12-28 21:31:42,44389
