所属区,市区,小区,户型,朝向,楼层,装修情况,面积,价格(万元),单价,年份,房型
成华,万年场,蓝光东方天地 ,3室1厅,东北,低楼层(共31层),精装,73.7平米,172,"23,338元/平",2015年建,塔楼
郫都,郫县城区,花样年龙年中心 ,3室2厅,南,26层,简装,85.97平米,88,"10,237元/平",2015年建,板塔结合
高新,中德,怡丰新城 ,4室2厅,北,低楼层(共6层),精装,168.13平米,297,"17,665元/平",2005年建,板楼
成华,驷马桥,招商雍华府二期 ,3室2厅,南 北,中楼层(共20层),简装,99.32平米,220,"22,151元/平",2014年建,板塔结合
龙泉驿,大面,世茂城一期 ,3室1厅,南,低楼层(共32层),精装,117.53平米,185,"15,741元/平",2015年建,板楼
金牛,国宾,正成拉斐 ,3室2厅,西南,低楼层(共18层),精装,87.11平米,168,"19,286元/平",2012年建,塔楼
龙泉驿,十陵,竹林尚书 ,3室1厅,北,高楼层(共33层),简装,91.41平米,132.5,"14,496元/平",2013年建,塔楼
成华,万年场,成华奥园广场二期 ,3室1厅,北,中楼层(共32层),精装,82.78平米,216,"26,094元/平",2018年建,板塔结合
龙泉驿,大面,世茂城一期 ,3室1厅,南,低楼层(共32层),精装,117.53平米,185,"15,741元/平",2015年建,板楼
成华,万年场,成华奥园广场二期 ,3室1厅,北,中楼层(共32层),精装,82.78平米,216,"26,094元/平",2018年建,板塔结合
新都,保利公园,保利公园198百合郡 ,4室2厅,西北,低楼层(共18层),精装,137.82平米,145,"10,521元/平",2009年建,板塔结合
龙泉驿,十陵,竹林尚书 ,3室1厅,北,高楼层(共33层),简装,91.41平米,132.5,"14,496元/平",2013年建,塔楼
成华,驷马桥,青秀城 ,4室1厅,南,中楼层(共18层),精装,117.01平米,206,"17,606元/平",2012年建,塔楼
龙泉驿,西河,慧生时代广场 ,3室2厅,东南,低楼层(共30层),精装,92.97平米,108,"11,617元/平",2017年建,板塔结合
高新,市一医院,雄飞新园紫郡 ,2室2厅,东南 南,低楼层(共17层),精装,78.77平米,160,"20,313元/平",2015年建,板塔结合
温江,温江大学城,西财学府憬城 ,3室2厅,东南,低楼层(共26层),精装,86.56平米,115,"13,286元/平",2019年建,塔楼
武侯,火车南站,高攀路18号 ,2室1厅,东,中楼层(共7层),简装,60.58平米,78,"12,876元/平",2003年建,板楼
金牛,成外,西江月 ,3室2厅,东南,高楼层(共17层),简装,116.1平米,136,"11,715元/平",2011年建,板塔结合
成华,理工大,电建地产美立方 ,3室1厅,西,低楼层(共34层),精装,74.2平米,145,"19,542元/平",2015年建,塔楼
高新,中德,融创香璟薹东苑 ,4室2厅,南,中楼层(共25层),精装,130.28平米,370,"28,401元/平",2019年建,板塔结合
温江,光华大道沿线,合能珍宝琥珀 ,3室2厅,南,中楼层(共34层),简装,85.86平米,115,"13,394元/平",2014年建,板塔结合
新都,大丰,保利城一期 ,3室1厅,北,中楼层(共18层),精装,93.19平米,128,"13,736元/平",2014年建,塔楼
温江,珠江新城,佳兆业丽晶港 ,3室1厅,东南,中楼层(共33层),精装,88.13平米,138,"15,659元/平",2012年建,板塔结合
郫都,橡树湾,龙城国际 ,3室2厅,南,高楼层(共33层),精装,101.05平米,155,"15,339元/平",2013年建,板塔结合
金牛,华侨城,华侨城纯水岸二期 ,3室1厅,东南 南,高楼层(共33层),毛坯,91.65平米,218,"23,787元/平",2010年建,板楼
龙泉驿,西河,昊园江南壹品 ,3室2厅,北,中楼层(共29层),简装,77.49平米,87,"11,228元/平",2015年建,板楼
天府新区,南湖,远大中央公园一期 ,3室2厅,西,高楼层(共30层),精装,100.24平米,202,"20,152元/平",2016年建,板塔结合
天府新区,海洋公园,麓山印象 ,4室2厅,西南,低楼层(共9层),毛坯,167.82平米,267,"15,910元/平",2013年建,板塔结合
武侯,丽都,红城 ,1室1厅,西北,高楼层(共18层),精装,47.65平米,94.5,"19,833元/平",2011年建,板楼
龙泉驿,大面,中国铁建国际城 ,3室2厅,南 北,中楼层(共34层),精装,87.02平米,135,"15,514元/平",2015年建,板塔结合
龙泉驿,龙泉驿城区,金上城 ,3室2厅,南 北,低楼层(共18层),简装,91.77平米,100,"10,897元/平",2007年建,塔楼
龙泉驿,大面,琥珀庭院 ,3室1厅,南 北,低楼层(共9层),精装,121.78平米,205,"16,834元/平",2013年建,板楼
龙泉驿,大面,炜岸城三期 ,3室2厅,西北,低楼层(共29层),精装,81.99平米,148,"18,051元/平",2016年建,塔楼
郫都,郫县城区,中冶中央公园 ,3室1厅,东南,高楼层(共31层),精装,78.09平米,84,"10,757元/平",2017年建,板塔结合
青羊,万家湾,恒大翡翠华庭 ,3室1厅,北,高楼层(共18层),精装,89.53平米,225,"25,132元/平",2017年建,塔楼
双流,蛟龙港,佳兆业8号 ,3室2厅,西南,高楼层(共14层),精装,91.11平米,168.8,"18,528元/平",2014年建,板塔结合
高新,中和,三利领事公馆 ,3室2厅,南 西南,高楼层(共31层),精装,121.26平米,245,"20,205元/平",2013年建,塔楼
双流,蛟龙港,四季金悦 ,3室2厅,东,高楼层(共12层),简装,73.72平米,125,"16,957元/平",2016年建,板塔结合
天府新区南江,麓山,中德麓府 ,3室2厅,东南,高楼层(共32层),简装,105.39平米,209,"19,832元/平",2018年建,板塔结合
天府新区南江,麓山,滨江和城 ,3室2厅,东,中楼层(共33层),精装,91.93平米,207,"22,518元/平",2018年建,板塔结合
新都,新都城区,旺府豪庭 ,3室1厅,北,中楼层(共18层),其他,90.58平米,102.6,"11,328元/平",2012年建,塔楼
温江,光华大道沿线,洲际春天广场 ,3室1厅,西北,低楼层(共32层),简装,76.99平米,117,"15,197元/平",2012年建,板塔结合
温江,温江新城,泰合新光华府 ,3室2厅,东南,低楼层(共32层),精装,96.46平米,145,"15,033元/平",2015年建,板塔结合
天府新区南江,麓山,滨江和城 ,3室2厅,南,中楼层(共34层),精装,90.21平米,206,"22,836元/平",2018年建,板塔结合
锦江,三圣乡,东御佲家 ,3室1厅,东南,中楼层(共33层),精装,89.64平米,223,"24,878元/平",2017年建,塔楼
温江,光华大道沿线,金科天宸 ,3室2厅,北 南,低楼层(共33层),精装,88.78平米,148,"16,671元/平",2018年建,板塔结合
高新,华府,中海右岸一期 ,3室2厅,南,中楼层(共33层),精装,72.08平米,170,"23,585元/平",2018年建,塔楼
新都,大丰,保利春天花语 ,3室1厅,南,高楼层(共32层),精装,86.07平米,135,"15,685元/平",2015年建,塔楼
金牛,成外,鼎犀名城 ,3室1厅,西南,中楼层(共18层),精装,76.36平米,108,"14,144元/平",2017年建,板塔结合
天府新区,南湖,南阳锦城 ,3室2厅,南,中楼层(共6层),毛坯,124.77平米,178,"14,267元/平",2008年建,板塔结合
郫都,红光,时代水岸康城 ,3室2厅,东南,中楼层(共25层),精装,64.92平米,86.8,"13,371元/平",2013年建,板塔结合
郫都,橡树湾,龙城国际 ,3室2厅,南,高楼层(共33层),精装,101.05平米,155,"15,339元/平",2013年建,板塔结合
金牛,华侨城,华侨城纯水岸二期 ,3室1厅,东南 南,高楼层(共33层),毛坯,91.65平米,218,"23,787元/平",2010年建,板楼
新都,大丰,保利城一期 ,3室1厅,北,中楼层(共18层),精装,93.19平米,128,"13,736元/平",2014年建,塔楼
郫都,犀浦,公园榕郡 ,3室2厅,东北,高楼层(共18层),精装,86.48平米,99,"11,448元/平",2011年建,板塔结合
高新,大源,北辰香麓 ,4室2厅,南 北,28层,毛坯,136.66平米,420,"30,734元/平",2018年建,塔楼
温江,珠江新城,佳兆业丽晶港 ,3室1厅,东南,中楼层(共33层),精装,88.13平米,138,"15,659元/平",2012年建,板塔结合
郫都,郫县城区,天立香缇华府 ,3室2厅,西南,低楼层(共23层),精装,83.73平米,104,"12,421元/平",2016年建,板塔结合
郫都,犀浦,合能四季城一期 ,3室1厅,东南,低楼层(共28层),其他,79.53平米,106,"13,329元/平",2013年建,板塔结合
金牛,成外,万科城 ,3室2厅,东,中楼层(共24层),精装,78.65平米,125.8,"15,995元/平",2017年建,板塔结合
高新,中和,御廷上郡 ,3室1厅,南,中楼层(共33层),简装,80.45平米,175,"21,753元/平",2012年建,板塔结合
温江,光华大道沿线,金河谷五期 ,3室1厅,西北,高楼层(共34层),简装,76.31平米,107,"14,022元/平",2015年建,塔楼
高新,大源,凯德世纪名邸 ,3室2厅,东,中楼层(共21层),简装,91.87平米,370,"40,275元/平",2016年建,板塔结合
锦江,合江亭,锦江印象 ,1室0厅,南,高楼层(共31层),简装,45.66平米,120,"26,282元/平",2008年建,板塔结合
金牛,国宾,东原亲亲里 ,3室2厅,东北,中楼层(共19层),精装,88.39平米,166,"18,781元/平",2015年建,塔楼
温江,温江大学城,明信仕林府 ,3室2厅,东南,高楼层(共26层),精装,90.4平米,115,"12,722元/平",2016年建,板塔结合
武侯,高升桥,高升瑞景 ,3室1厅,东北,中楼层(共20层),精装,54.41平米,88,"16,174元/平",2011年建,板楼
天府新区,南湖,海伦春天 ,3室1厅,北,中楼层(共40层),精装,92.04平米,184,"19,992元/平",2018年建,板塔结合
温江,光华大道沿线,洲际银海湾 ,4室2厅,西北,中楼层(共39层),精装,122.59平米,220,"17,946元/平",2016年建,板塔结合
龙泉驿,大面,中国铁建国际城 ,3室2厅,南 北,中楼层(共34层),精装,87.02平米,135,"15,514元/平",2015年建,板塔结合
龙泉驿,龙泉驿城区,金上城 ,3室2厅,南 北,低楼层(共18层),简装,91.77平米,100,"10,897元/平",2007年建,塔楼
双流,蛟龙港,四季金悦 ,3室2厅,北,高楼层(共12层),精装,83.52平米,140,"16,763元/平",2016年建,板塔结合
温江,温江大学城,明信仕林府 ,3室1厅,西南,中楼层(共26层),精装,83.98平米,123,"14,647元/平",2016年建,板塔结合
武侯,草金立交,上水花苑 ,3室2厅,南,高楼层(共23层),精装,90平米,183,"20,334元/平",2016年建,塔楼
龙泉驿,大面,琥珀庭院 ,3室1厅,南 北,低楼层(共9层),精装,121.78平米,205,"16,834元/平",2013年建,板楼
金牛,天回镇,华润龙湾御府 ,4室2厅,东南,中楼层(共32层),精装,131.9平米,160,"12,131元/平",2019年建,暂无数据
成华,驷马桥,青秀城 ,3室2厅,南,低楼层(共18层),精装,90.14平米,139,"15,421元/平",2012年建,板塔结合
锦江,三圣乡,锦江城市花园三期 ,3室2厅,东南,低楼层(共34层),精装,74.16平米,135,"18,204元/平",2011年建,板塔结合
青羊,外光华,光华尚居 ,3室1厅,南,中楼层(共21层),精装,85.35平米,199,"23,316元/平",2019年建,塔楼
温江,温江大学城,金强大学城 ,3室2厅,东北,中楼层(共18层),精装,83.95平米,92,"10,959元/平",2009年建,板塔结合
双流,航空港,蓝光圣菲town城 ,3室1厅,西,高楼层(共22层),简装,108.26平米,148,"13,671元/平",2009年建,板塔结合
双流,航空港,蓝光圣菲town城 ,3室1厅,西,高楼层(共22层),简装,108.26平米,148,"13,671元/平",2009年建,板塔结合
温江,光华大道沿线,洲际春天广场 ,3室2厅,东北,高楼层(共32层),精装,76.52平米,126.8,"16,571元/平",2016年建,板塔结合
高新,华府,中海右岸一期 ,3室2厅,南,中楼层(共33层),精装,72.08平米,170,"23,585元/平",2018年建,塔楼
高新,大源,北辰香麓 ,4室2厅,南 北,28层,毛坯,136.66平米,420,"30,734元/平",2018年建,塔楼
金牛,成外,万科城 ,3室2厅,东,中楼层(共24层),精装,78.65平米,125.8,"15,995元/平",2017年建,板塔结合
高新,中和,御廷上郡 ,3室1厅,南,中楼层(共33层),简装,80.45平米,175,"21,753元/平",2012年建,板塔结合
温江,光华大道沿线,金河谷五期 ,3室1厅,西北,高楼层(共34层),简装,76.31平米,107,"14,022元/平",2015年建,塔楼
高新,中和,三利领事公馆 ,3室2厅,南 西南,高楼层(共31层),精装,121.26平米,245,"20,205元/平",2013年建,塔楼
新都,大丰,保利春天花语 ,3室1厅,南,高楼层(共32层),精装,86.07平米,135,"15,685元/平",2015年建,塔楼
郫都,郫县城区,中信未来城南区 ,3室2厅,东南,低楼层(共33层),简装,101.89平米,119,"11,680元/平",2013年建,板楼
龙泉驿,龙泉驿城区,皇冠湖壹号 ,4室2厅,南,高楼层(共8层),毛坯,130.88平米,262,"20,019元/平",2018年建,板楼
成华,李家沱,撷英卉苑 ,3室1厅,东南,低楼层(共7层),简装,97.35平米,114,"11,711元/平",2001年建,板楼
武侯,簇桥,绿地圣路易名邸二期 ,5室2厅,东,高楼层(共12层),精装,152.46平米,358,"23,482元/平",2013年建,板塔结合
金牛,金牛万达,紫金乐章 ,3室1厅,西南,中楼层(共21层),简装,102.8平米,102,"9,923元/平",2011年建,塔楼
金牛,花牌坊,双城 ,1室1厅,南,中楼层(共33层),简装,55.36平米,84,"15,174元/平",2009年建,塔楼
金牛,金牛万达,紫金乐章 ,3室1厅,西南,高楼层(共21层),简装,103.44平米,102,"9,861元/平",2011年建,塔楼
天府新区,四河,南阳锦城晶品 ,1室1厅,西,中楼层(共24层),精装,55平米,112,"20,364元/平",2012年建,塔楼
青羊,八宝街,米兰小筑 ,2室1厅,东南,低楼层(共17层),简装,42.43平米,55,"12,963元/平",2005年建,塔楼
锦江,九眼桥,东方桂苑 ,2室1厅,西南 东南,中楼层(共11层),精装,61.95平米,105,"16,950元/平",2006年建,板塔结合
金牛,高家庄,西城丽景 ,2室1厅,西南,中楼层(共18层),简装,79.62平米,89.6,"11,254元/平",2009年建,板楼
温江,温江老城,西蜀尚都 ,2室2厅,东 东南,低楼层(共18层),精装,64.37平米,70.8,"10,999元/平",2010年建,塔楼
双流,东升镇,一杆旗北街69号 ,2室1厅,东,中楼层(共6层),精装,73.62平米,71,"9,645元/平",2005年建,板楼
温江,光华大道沿线,8号公馆 ,2室1厅,西,高楼层(共30层),简装,82.27平米,100,"12,156元/平",2014年建,板塔结合
锦江,九眼桥,东方桂苑 ,2室1厅,西南 东,中楼层(共11层),简装,59.56平米,99.9,"16,774元/平",2006年建,板塔结合
万象城,万象城,汇厦沙河锦庭二期 ,2室1厅,东,中楼层(共31层),精装,67.23平米,159,"23,651元/平",2017年建,板塔结合
双流,航空港,蓝光圣菲town城 ,2室2厅,北,低楼层(共23层),简装,66.21平米,105,"15,859元/平",2009年建,板塔结合
温江,光华大道沿线,洲际春天广场 ,2室1厅,南,高楼层(共32层),精装,66.21平米,102,"15,406元/平",2012年建,板塔结合
温江,花都大道,朝阳时代西锦 ,2室1厅,东南,高楼层(共33层),精装,87.59平米,97,"11,075元/平",2014年建,板塔结合
高新,中和,锦辰佳苑 ,2室1厅,西南,低楼层(共25层),精装,52.84平米,120,"22,711元/平",2015年建,塔楼
郫都,红光,中铁西郡英华二期 ,2室2厅,东南,高楼层(共31层),精装,72.43平米,70,"9,665元/平",2013年建,板塔结合
武侯,五大花园,金林俊景 ,2室1厅,南,17层,简装,78.16平米,137,"17,529元/平",2009年建,板塔结合
青羊,贝森,双玺 ,2室1厅,东,低楼层(共18层),简装,80.91平米,165,"20,394元/平",2011年建,板塔结合
武侯,红牌楼,双楠港汇广场 ,1室1厅,西南,中楼层(共5层),精装,54.73平米,78,"14,252元/平",2015年建,塔楼
青羊,万家湾,清河阳光 ,2室1厅,南,高楼层(共18层),精装,89.13平米,148,"16,605元/平",2010年建,板塔结合
青羊,草市街,帘官公所街49号 ,2室2厅,南,中楼层(共7层),简装,73.5平米,95,"12,926元/平",1998年建,板楼
武侯,红牌楼,双楠回归线 ,2室1厅,东南,11层,简装,73平米,105,"14,384元/平",2003年建,板楼
青羊,贝森,瑞通凯域 ,2室1厅,南 北,高楼层(共11层),简装,88.16平米,135,"15,314元/平",2006年建,板塔结合
青羊,府南新区,石人南路85号 ,2室1厅,南,7层,精装,48.18平米,58.8,"12,205元/平",1997年建,板楼
成华,SM广场,合能耀之城 ,2室1厅,西,低楼层(共27层),简装,48.8平米,87,"17,828元/平",2010年建,板塔结合
龙泉驿,大面,师大现代花园 ,2室2厅,西南,中楼层(共32层),精装,94.08平米,119,"12,649元/平",2013年建,塔楼
双流,航空港,蓝光圣菲town城 ,2室2厅,西,低楼层(共23层),简装,77.04平米,116,"15,058元/平",2009年建,塔楼
青羊,外金沙,清水路苑 ,2室2厅,东南,低楼层(共18层),精装,89.1平米,152,"17,060元/平",2012年建,板塔结合
金牛,金牛万达,金牛万达D组团 ,2室1厅,西,中楼层(共32层),简装,61.59平米,110,"17,861元/平",2013年建,塔楼
青羊,外光华,锦绣光华 ,2室1厅,南,中楼层(共21层),精装,82.25平米,139,"16,900元/平",2010年建,板楼
武侯,武侯立交,金楠缤纷 ,2室1厅,西北,高楼层(共16层),简装,61平米,95,"15,574元/平",2015年建,板塔结合
万象城,万象城,华润二十四城二期 ,2室1厅,南,高楼层(共32层),精装,65.28平米,175,"26,808元/平",2010年建,板塔结合
双流,航空港,翰林上岛 ,2室2厅,南,低楼层(共16层),简装,67.71平米,94,"13,883元/平",2008年建,塔楼
青羊,万家湾,清溪雅筑 ,2室1厅,南,中楼层(共18层),简装,74.95平米,127,"16,945元/平",2012年建,塔楼
龙泉驿,大面,电建地产云立方 ,2室1厅,西,中楼层(共31层),精装,85.7平米,150,"17,503元/平",2015年建,板塔结合
青羊,金沙,金沙西园四期 ,2室1厅,西南,低楼层(共26层),精装,85.45平米,220,"25,747元/平",2009年建,板塔结合
青羊,外金沙,金沙柏林郡 ,2室1厅,南,中楼层(共22层),精装,84.02平米,145,"17,258元/平",2013年建,板塔结合
万象城,万象城,华润二十四城一期 ,2室1厅,南,中楼层(共32层),精装,88.36平米,200,"22,635元/平",2009年建,塔楼
温江,花都大道,佳年华新生活A区 ,2室1厅,东南,高楼层(共33层),精装,67.37平米,88.8,"13,181元/平",2019年建,塔楼
武侯,双楠,香月楠岸 ,2室1厅,南,中楼层(共21层),精装,57.85平米,94,"16,249元/平",2009年建,板塔结合
成华,东郊记忆,红枫岭二期 ,2室2厅,东,高楼层(共33层),精装,88平米,134,"15,228元/平",2009年建,板塔结合
新都,毗河,富力桃园A区 ,2室1厅,东 东南,中楼层(共32层),精装,80.64平米,95,"11,781元/平",2015年建,板楼
武侯,武侯立交,金楠缤纷 ,2室1厅,西北,高楼层(共16层),简装,61平米,95,"15,574元/平",2015年建,板塔结合
成华,SM广场,合能耀之城 ,2室1厅,西,低楼层(共27层),简装,48.8平米,87,"17,828元/平",2010年建,板塔结合
青羊,万家湾,清溪雅筑 ,2室1厅,南,中楼层(共18层),简装,74.95平米,127,"16,945元/平",2012年建,塔楼
双流,航空港,蓝光圣菲town城 ,2室2厅,西,低楼层(共23层),简装,77.04平米,116,"15,058元/平",2009年建,塔楼
武侯,红牌楼,海珀香庭 ,2室2厅,南 北,高楼层(共11层),精装,88平米,125,"14,205元/平",2010年建,板楼
新都,保利公园,保利公园198玫瑰郡 ,2室2厅,南,中楼层(共18层),精装,89.19平米,105,"11,773元/平",2010年建,塔楼
双流,航空港,空港十六区 ,3室2厅,西,高楼层(共18层),简装,99.07平米,156,"15,747元/平",2009年建,塔楼
高新,华阳,慕和南道 ,2室1厅,南,高楼层(共15层),精装,87.12平米,179,"20,547元/平",2010年建,板塔结合
新都,新都城区,天府香城印象 ,3室2厅,西南,高楼层(共26层),毛坯,86.81平米,88,"10,138元/平",2012年建,板塔结合
青羊,府南新区,罗家碾街37号 ,2室1厅,南,中楼层(共7层),简装,63.49平米,62.5,"9,845元/平",1996年建,板楼
郫都,郫县城区,龙湖弗莱明戈一期 ,2室2厅,南,中楼层(共34层),精装,72.53平米,97.5,"13,443元/平",2012年建,塔楼
青羊,府南新区,文汇院 ,2室1厅,东南,低楼层(共7层),简装,73.05平米,82,"11,226元/平",1996年建,板楼
成华,驷马桥,华宇阳光水岸 ,2室1厅,东南 南,中楼层(共21层),简装,68.15平米,125,"18,342元/平",2010年建,板塔结合
武侯,新双楠,华宇楠苑 ,2室1厅,南,高楼层(共11层),精装,65.91平米,175,"26,552元/平",2012年建,板塔结合
高新,华府,华宜上锦 ,2室2厅,东,中楼层(共26层),毛坯,72.18平米,135,"18,704元/平",2014年建,塔楼
成华,八里小区,怡福巷80号 ,2室1厅,东南,低楼层(共7层),简装,71.66平米,78,"10,885元/平",2000年建,板楼
天府新区,南湖,南湖半岛 ,2室1厅,东南,中楼层(共33层),精装,78.44平米,149,"18,996元/平",2015年建,塔楼
双流,双流城区,棠湖泊林镇 ,3室2厅,东 西,中楼层(共5层),精装,79.36平米,108,"13,609元/平",2011年建,板楼
万象城,万象城,新华名园 ,2室2厅,南,高楼层(共6层),简装,72.13平米,82,"11,369元/平",2005年建,板楼
五块石,五块石,天悦城 ,2室2厅,北,中楼层(共25层),精装,69.17平米,126,"18,216元/平",2016年建,塔楼
温江,花都大道,蓝润光华春天B区 ,3室1厅,西南,高楼层(共26层),毛坯,81.55平米,108,"13,244元/平",2017年建,板塔结合
郫都,犀浦,交大卡布里城 ,2室2厅,西南,低楼层(共25层),精装,89.83平米,95,"10,576元/平",2009年建,板塔结合
高新,华阳,益州国际 ,2室1厅,南,高楼层(共28层),精装,70.36平米,138,"19,614元/平",2014年建,板塔结合
青羊,外金沙,清江之春 ,2室1厅,东北,高楼层(共18层),精装,86.46平米,126.9,"14,678元/平",2010年建,板楼
温江,花都大道,蓝润光华春天B区 ,3室1厅,西南,高楼层(共26层),毛坯,81.55平米,108,"13,244元/平",2017年建,板塔结合
龙泉驿,大面,四季映像 ,2室1厅,西,高楼层(共34层),精装,49.96平米,78,"15,613元/平",2012年建,板塔结合
武侯,红牌楼,金楠国际 ,1室1厅,东南,高楼层(共7层),精装,55.77平米,95,"17,035元/平",2008年建,板楼
金牛,国宾,万科金域西岭 ,2室1厅,西南,中楼层(共35层),精装,90.56平米,155,"17,116元/平",2012年建,板塔结合
武侯,桐梓林,中华园锦苑 ,3室2厅,南,中楼层(共11层),其他,153.63平米,315,"20,504元/平",2004年建,板塔结合
成华,万年场,阳光100米娅中心一期 ,2室1厅,南,中楼层(共29层),精装,76.91平米,151,"19,634元/平",2014年建,板塔结合
双流,航空港,蓝润棠湖春天 ,2室1厅,东 东南,中楼层(共14层),简装,47.09平米,77,"16,352元/平",2014年建,板楼
锦江,合江亭,锦江印象 ,1室1厅,西北,中楼层(共31层),简装,45.46平米,124,"27,277元/平",2008年建,板塔结合
武侯,红牌楼,银泰香樟林 ,2室1厅,西南,中楼层(共17层),精装,79.61平米,183,"22,988元/平",2014年建,板楼
金牛,花牌坊,龙湖上城天街广场 ,2室2厅,北,中楼层(共33层),精装,75.35平米,173.8,"23,066元/平",2018年建,塔楼
龙泉驿,大面,百悦天鹅湖 ,2室2厅,南,低楼层(共27层),精装,82.77平米,123,"14,861元/平",2015年建,板塔结合
新都,毗河,缤纷翠微湖 ,3室2厅,东南,高楼层(共30层),毛坯,77.63平米,95,"12,238元/平",2014年建,板楼
温江,珠江新城,佳兆业丽晶港 ,3室1厅,东南,高楼层(共33层),简装,86.77平米,133.9,"15,432元/平",2012年建,板塔结合
青羊,外金沙,清水路苑 ,2室2厅,西,高楼层(共18层),精装,83.7平米,132,"15,771元/平",2012年建,板塔结合
青羊,外光华,紫御熙庭 ,2室1厅,西,低楼层(共21层),简装,69.54平米,178,"25,597元/平",2017年建,板塔结合
高新,神仙树,紫荆岁月 ,1室0厅,西北,高楼层(共15层),精装,58.77平米,57,"9,699元/平",2004年建,塔楼
五块石,五块石,天悦城 ,2室2厅,北,中楼层(共25层),精装,69.17平米,126,"18,216元/平",2016年建,塔楼
成华,龙潭寺,二重嘉苑 ,2室2厅,南,中楼层(共16层),毛坯,97.74平米,128,"13,096元/平",2015年建,板楼
金牛,一品天下,同心苑(金牛) ,3室2厅,西南 东北,中楼层(共7层),简装,97.7平米,120,"12,283元/平",1997年建,板楼
成华,动物园,首创光和城二期 ,2室1厅,西,高楼层(共27层),精装,63.95平米,119.5,"18,687元/平",2016年建,塔楼
双流,航空港,南城香山 ,1室1厅,南,中楼层(共14层),精装,39.08平米,39.9,"10,210元/平",2015年建,板塔结合
双流,蛟龙港,九龙仓时代小镇 ,2室1厅,东,高楼层(共11层),简装,78.87平米,120,"15,215元/平",2015年建,板塔结合
锦江,莲花,名沁苑 ,2室1厅,东南 西北,高楼层(共7层),简装,60.05平米,61,"10,159元/平",1997年建,板塔结合
武侯,簇桥,玲珑郡 ,2室1厅,东南,中楼层(共13层),精装,69.89平米,135,"19,317元/平",2012年建,板楼
新都,毗河,缤纷翠微湖 ,3室2厅,东南,高楼层(共30层),毛坯,77.63平米,95,"12,238元/平",2014年建,板楼
龙泉驿,大面,百悦天鹅湖 ,2室2厅,南,低楼层(共27层),精装,82.77平米,123,"14,861元/平",2015年建,板塔结合
武侯,红牌楼,银泰香樟林 ,2室1厅,西南,中楼层(共17层),精装,79.61平米,183,"22,988元/平",2014年建,板楼
金牛,花牌坊,龙湖上城天街广场 ,2室2厅,北,中楼层(共33层),精装,75.35平米,173.8,"23,066元/平",2018年建,塔楼
温江,珠江新城,佳兆业丽晶港 ,3室1厅,东南,高楼层(共33层),简装,86.77平米,133.9,"15,432元/平",2012年建,板塔结合
青羊,外光华,紫御熙庭 ,2室1厅,西,低楼层(共21层),简装,69.54平米,178,"25,597元/平",2017年建,板塔结合
五块石,五块石,映日荷花 ,2室1厅,南,高楼层(共19层),其他,68.38平米,77,"11,261元/平",2009年建,板楼
金牛,成外,书香府邸 ,1室1厅,南,中楼层(共16层),简装,64.61平米,71,"10,990元/平",2009年建,板塔结合
高新,市一医院,南城都汇汇馨园三期 ,2室2厅,南,低楼层(共18层),精装,89.57平米,245,"27,353元/平",2012年建,板塔结合
高新,大源,嘉祥瑞庭南城 ,2室1厅,东,高楼层(共25层),精装,74.84平米,206,"27,526元/平",2016年建,塔楼
温江,国色天乡,花语岸 ,2室2厅,西南,高楼层(共16层),精装,83.38平米,87,"10,435元/平",2015年建,板楼
成华,万年场,天空城 ,2室2厅,西南,中楼层(共28层),精装,85.31平米,156,"18,287元/平",2010年建,板塔结合
金牛,成外,派克公馆 ,1室1厅,西北,高楼层(共12层),精装,57.29平米,74,"12,917元/平",2011年建,板塔结合
双流,航空港,温哥华南苑 ,2室1厅,东,高楼层(共16层),精装,61.02平米,75,"12,292元/平",2013年建,板塔结合
温江,温江大学城,海科名城 ,2室1厅,东南,中楼层(共27层),精装,92.33平米,94,"10,181元/平",2011年建,塔楼
青羊,外金沙,清水路苑 ,2室2厅,东,高楼层(共18层),简装,86平米,126.5,"14,710元/平",2012年建,板塔结合
郫都,红光,正成名城左岸 ,2室1厅,西北,中楼层(共22层),简装,52.94平米,33.9,"6,404元/平",2008年建,板塔结合
成华,驷马桥,华宇阳光水岸 ,2室1厅,东北,高楼层(共21层),精装,68.37平米,132,"19,307元/平",2010年建,板塔结合
高新,神仙树,紫荆岁月 ,1室0厅,西北,高楼层(共15层),精装,58.77平米,57,"9,699元/平",2004年建,塔楼
武侯,华西,建国巷2号 ,2室1厅,南,中楼层(共5层),精装,73.69平米,92,"12,485元/平",1998年建,板楼
温江,温江新城,金恒德时代金悦 ,2室1厅,西北,中楼层(共31层),精装,70.85平米,106,"14,962元/平",2017年建,板塔结合
郫都,橡树湾,西城御景 ,2室2厅,东南 西南,低楼层(共28层),简装,78.35平米,86,"10,977元/平",2015年建,板塔结合
成华,驷马桥,华宇阳光水岸 ,2室1厅,东南,中楼层(共21层),精装,67.33平米,125,"18,566元/平",2010年建,板塔结合
成华,东郊记忆,和泓东28 ,2室2厅,东南,高楼层(共34层),精装,65.51平米,138,"21,066元/平",2015年建,板塔结合
高新,新会展,青年一号 ,2室1厅,东南,高楼层(共32层),精装,82.28平米,139,"16,894元/平",2010年建,塔楼
郫都,郫县城区,西都会 ,2室1厅,南,高楼层(共19层),简装,57.44平米,38,"6,616元/平",2010年建,塔楼
郫都,郫县城区,西都会 ,2室1厅,南,高楼层(共19层),简装,57.44平米,38,"6,616元/平",2010年建,塔楼
