所属区,市区,小区,户型,朝向,楼层,装修情况,面积,价格(万元),单价,年份,房型
金牛,成外,天璟荟 ,3室1厅,东南,低楼层(共15层),精装,85.18平米,130,"15,262元/平",2019年建,板塔结合
武侯,五大花园,交大广厦小区 ,3室2厅,东北,低楼层(共7层),简装,94.74平米,103,"10,872元/平",2000年建,板楼
双流,航空港,空港晶座 ,3室1厅,南,中楼层(共24层),精装,102.61平米,169.6,"16,529元/平",2012年建,板楼
青羊,宽窄巷子,将军街7号 ,3室1厅,南,中楼层(共6层),简装,68.33平米,154,"22,538元/平",2002年建,板楼
龙泉驿,龙泉驿城区,合能珍宝玲珑 ,3室1厅,东,33层,精装,85.15平米,119,"13,976元/平",2018年建,塔楼
温江,珠江新城,佳兆业丽晶港 ,4室2厅,东北 东南,低楼层(共33层),精装,130.94平米,239,"18,253元/平",2012年建,板塔结合
龙泉驿,龙泉驿城区,首创东公元 ,4室1厅,南 北,低楼层(共34层),精装,116.65平米,160,"13,717元/平",2012年建,塔楼
龙泉驿,龙泉驿城区,四季康城 ,3室1厅,东南,低楼层(共34层),简装,79.47平米,105,"13,213元/平",2013年建,板塔结合
猛追湾,猛追湾,人民苑 ,2室1厅,东南,中楼层(共7层),精装,57.3平米,70,"12,217元/平",2002年建,板楼
武侯,高升桥,罗浮世家二期 ,4室2厅,南,中楼层(共17层),简装,161.96平米,339,"20,932元/平",2004年建,板塔结合
青白江,青白江,瑞居海布斯卡 ,3室2厅,南,高楼层(共32层),毛坯,135.1平米,81.8,"6,055元/平",2013年建,板塔结合
高新,大源,朗基御今缘 ,3室1厅,南 北,高楼层(共27层),精装,95.5平米,320,"33,508元/平",2018年建,板塔结合
青羊,金沙,蓝光凯丽美域 ,3室2厅,西南,低楼层(共31层),精装,89.73平米,235,"26,190元/平",2010年建,塔楼
郫都,犀浦,西区花园花园洋房 ,3室2厅,东南,低楼层(共6层),精装,120.49平米,122,"10,126元/平",2004年建,板塔结合
高新,大源,合能璞丽 ,3室2厅,南,28层,精装,89.21平米,364,"40,803元/平",2016年建,板塔结合
双流,蛟龙港,香瑞楠府 ,3室1厅,西,中楼层(共13层),毛坯,100.1平米,174,"17,383元/平",2017年建,板塔结合
天府新区,南湖,南湖半岛 ,3室1厅,东,高楼层(共33层),精装,94.46平米,185,"19,586元/平",2015年建,塔楼
温江,光华大道沿线,公园大道 ,4室2厅,北,高楼层(共16层),精装,139.04平米,175,"12,587元/平",2012年建,板塔结合
成华,万年场,阳光100米娅中心一期 ,3室1厅,东,高楼层(共27层),精装,91.96平米,178,"19,357元/平",2014年建,板塔结合
高新,中和,御廷上郡 ,3室2厅,南,中楼层(共33层),简装,99.33平米,196,"19,733元/平",2012年建,板塔结合
锦江,盐市口,康庄街28号 ,3室1厅,南,中楼层(共7层),毛坯,77.58平米,95,"12,246元/平",2000年建,板楼
郫都,郫县万达,一里阳光 ,3室2厅,西南,高楼层(共32层),简装,79.21平米,85,"10,731元/平",2013年建,塔楼
武侯,新双楠,保利花园二期 ,3室1厅,东 西,低楼层(共15层),精装,99平米,270,"27,273元/平",2012年建,板楼
青羊,宽窄巷子,通惠门路25号 ,2室1厅,南,高楼层(共8层),简装,54.02平米,95,"17,587元/平",1985年建,板楼
郫都,红光,铂悦郡 ,3室2厅,西南,中楼层(共7层),精装,78.08平米,113,"14,473元/平",2018年建,板塔结合
锦江,沙河堡,中房优山PLUS ,3室1厅,东 东南,中楼层(共31层),简装,95.38平米,260,"27,260元/平",2018年建,板塔结合
武侯,棕北,锦绣街5号 ,1室1厅,南,高楼层(共6层),简装,40.07平米,56,"13,976元/平",2000年建,板楼
新都,毗河,交大香悦 ,3室2厅,东南 西南,中楼层(共18层),毛坯,85.96平米,98,"11,401元/平",2014年建,塔楼
天府新区,南湖,佳兆业君汇上品 ,3室2厅,南,高楼层(共31层),毛坯,109.6平米,226,"20,621元/平",2013年建,板塔结合
郫都,犀浦,溪地湾 ,3室2厅,东南,低楼层(共33层),精装,90.1平米,132,"14,651元/平",2015年建,塔楼
成华,驷马桥,绿地世纪城 ,3室2厅,南,中楼层(共20层),精装,86.55平米,165,"19,065元/平",2016年建,塔楼
新都,大丰,开元国际 ,3室1厅,南,高楼层(共26层),简装,92.42平米,128,"13,850元/平",2012年建,板塔结合
武侯,川大,学府花园 ,3室1厅,东北,中楼层(共22层),简装,149.2平米,166,"11,127元/平",2001年建,塔楼
锦江,琉璃场,蓝光凯丽香江 ,3室2厅,东北,中楼层(共42层),精装,80.29平米,168,"20,925元/平",2009年建,塔楼
新都,大丰,汇融悉尼湾达令港 ,2室2厅,北,中楼层(共28层),精装,59.98平米,89,"14,839元/平",2013年建,板塔结合
龙泉驿,大面,保利玫瑰花语 ,3室2厅,东南 南,高楼层(共25层),精装,94.65平米,168,"17,750元/平",2016年建,板楼
龙泉驿,大面,金茂悦龙山 ,3室2厅,东南,高楼层(共33层),精装,86平米,133,"15,466元/平",2017年建,塔楼
新都,新都城区,富豪公馆 ,3室2厅,东南,中楼层(共29层),毛坯,119.34平米,149,"12,486元/平",2017年建,板塔结合
青羊,府南新区,欣园二期 ,2室1厅,南,中楼层(共7层),精装,96.98平米,98,"10,106元/平",2002年建,板楼
天府新区南江,麓山,滨江和城 ,3室2厅,南,低楼层(共31层),精装,92.99平米,206,"22,153元/平",2018年建,板塔结合
温江,花都大道,佳年华新生活 ,3室2厅,南 东南,中楼层(共34层),精装,65.17平米,93,"14,271元/平",2016年建,板塔结合
青羊,外光华,凯德风尚 ,4室2厅,东,高楼层(共18层),简装,190.98平米,399,"20,893元/平",2012年建,板塔结合
双流,航空港,蓝光圣菲悦城二期 ,3室1厅,南 东南,中楼层(共20层),精装,87.99平米,168,"19,094元/平",2016年建,塔楼
金牛,国宾,恒大西锦城 ,3室2厅,西北,低楼层(共29层),精装,121.47平米,218,"17,947元/平",2012年建,塔楼
郫都,犀浦,傲城 ,3室1厅,西南,高楼层(共31层),精装,100.64平米,143,"14,210元/平",2015年建,板塔结合
成华,动物园,领地海纳时代 ,3室1厅,东,高楼层(共34层),精装,77.8平米,143,"18,381元/平",2016年建,塔楼
成华,万年场,华西花园一期 ,3室1厅,东,中楼层(共16层),精装,99.75平米,158,"15,840元/平",2010年建,板塔结合
龙泉驿,大面,电建地产云立方 ,3室2厅,南,高楼层(共32层),精装,88.42平米,155,"17,530元/平",2015年建,板塔结合
高新西,高新西,中房学府海棠一期 ,2室1厅,南 北,高楼层(共27层),精装,82.19平米,98,"11,924元/平",2013年建,板楼
高新,中德,中铁城锦南汇 ,3室2厅,南,高楼层(共33层),毛坯,90.79平米,202,"22,250元/平",2018年建,板塔结合
温江,光华大道沿线,合能珍宝琥珀三期 ,3室2厅,南,中楼层(共33层),精装,89.59平米,143,"15,962元/平",2017年建,塔楼
新都,毗河,香城河畔 ,3室1厅,南,高楼层(共33层),毛坯,90.64平米,102,"11,254元/平",2016年建,板塔结合
青羊,贝森,上城生活馆 ,3室1厅,西,高楼层(共11层),简装,88.54平米,159,"17,958元/平",2004年建,板楼
